year,series,commodity,value,unit,source,method
2006,co2_per_tonne_fuel_central,coal,2.44068,t_CO2_per_t_fuel (Other Bituminous Coal),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_central,gas,2.6928,t_CO2_per_t_fuel (Natural Gas),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_central,oil,3.102,t_CO2_per_t_fuel (Crude Oil),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_high,coal,1.2042800000000002,t_CO2_per_t_fuel (Lignite),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_high,gas,2.6048,t_CO2_per_t_fuel (Natural Gas),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_high,oil,2.8361666666666667,t_CO2_per_t_fuel (Natural Gas Liquids),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_low,coal,2.6237199999999996,t_CO2_per_t_fuel (Anthracite),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_low,gas,2.7984,t_CO2_per_t_fuel (Natural Gas),ipcc2006_v2_ch1,transcribed
2006,co2_per_tonne_fuel_low,oil,3.1256133333333334,t_CO2_per_t_fuel (Residual Fuel Oil),ipcc2006_v2_ch1,transcribed
1750,fossil_co2,coal,9.305937,Mt_CO2,gcb2025v15,observed
1751,fossil_co2,coal,9.407229,Mt_CO2,gcb2025v15,observed
1752,fossil_co2,coal,9.505168,Mt_CO2,gcb2025v15,observed
1753,fossil_co2,coal,9.61049,Mt_CO2,gcb2025v15,observed
1754,fossil_co2,coal,9.73358,Mt_CO2,gcb2025v15,observed
1755,fossil_co2,coal,9.793468,Mt_CO2,gcb2025v15,observed
1756,fossil_co2,coal,9.909914,Mt_CO2,gcb2025v15,observed
1757,fossil_co2,coal,10.093936,Mt_CO2,gcb2025v15,observed
1758,fossil_co2,coal,10.216358,Mt_CO2,gcb2025v15,observed
1759,fossil_co2,coal,10.338854,Mt_CO2,gcb2025v15,observed
1760,fossil_co2,coal,10.514331,Mt_CO2,gcb2025v15,observed
1761,fossil_co2,coal,10.747885,Mt_CO2,gcb2025v15,observed
1762,fossil_co2,coal,10.952198,Mt_CO2,gcb2025v15,observed
1763,fossil_co2,coal,11.191592,Mt_CO2,gcb2025v15,observed
1764,fossil_co2,coal,11.396982,Mt_CO2,gcb2025v15,observed
1765,fossil_co2,coal,11.643486,Mt_CO2,gcb2025v15,observed
1766,fossil_co2,coal,11.87608,Mt_CO2,gcb2025v15,observed
1767,fossil_co2,coal,12.152509,Mt_CO2,gcb2025v15,observed
1768,fossil_co2,coal,12.466936,Mt_CO2,gcb2025v15,observed
1769,fossil_co2,coal,12.780074,Mt_CO2,gcb2025v15,observed
1770,fossil_co2,coal,13.097216,Mt_CO2,gcb2025v15,observed
1771,fossil_co2,coal,13.369488,Mt_CO2,gcb2025v15,observed
1772,fossil_co2,coal,13.623507,Mt_CO2,gcb2025v15,observed
1773,fossil_co2,coal,13.808138,Mt_CO2,gcb2025v15,observed
1774,fossil_co2,coal,14.012415,Mt_CO2,gcb2025v15,observed
1775,fossil_co2,coal,14.33892,Mt_CO2,gcb2025v15,observed
1776,fossil_co2,coal,14.654124,Mt_CO2,gcb2025v15,observed
1777,fossil_co2,coal,14.959537,Mt_CO2,gcb2025v15,observed
1778,fossil_co2,coal,15.243483,Mt_CO2,gcb2025v15,observed
1779,fossil_co2,coal,15.535235,Mt_CO2,gcb2025v15,observed
1780,fossil_co2,coal,15.878726,Mt_CO2,gcb2025v15,observed
1781,fossil_co2,coal,16.234383,Mt_CO2,gcb2025v15,observed
1782,fossil_co2,coal,16.580954,Mt_CO2,gcb2025v15,observed
1783,fossil_co2,coal,17.062751,Mt_CO2,gcb2025v15,observed
1784,fossil_co2,coal,17.471093,Mt_CO2,gcb2025v15,observed
1785,fossil_co2,coal,17.965127,Mt_CO2,gcb2025v15,observed
1786,fossil_co2,coal,18.447497,Mt_CO2,gcb2025v15,observed
1787,fossil_co2,coal,18.85913,Mt_CO2,gcb2025v15,observed
1788,fossil_co2,coal,19.286229,Mt_CO2,gcb2025v15,observed
1789,fossil_co2,coal,19.863425,Mt_CO2,gcb2025v15,observed
1790,fossil_co2,coal,20.398094,Mt_CO2,gcb2025v15,observed
1791,fossil_co2,coal,20.931749,Mt_CO2,gcb2025v15,observed
1792,fossil_co2,coal,21.929215,Mt_CO2,gcb2025v15,observed
1793,fossil_co2,coal,22.297261,Mt_CO2,gcb2025v15,observed
1794,fossil_co2,coal,22.519656,Mt_CO2,gcb2025v15,observed
1795,fossil_co2,coal,22.315246,Mt_CO2,gcb2025v15,observed
1796,fossil_co2,coal,22.121375,Mt_CO2,gcb2025v15,observed
1797,fossil_co2,coal,22.090078,Mt_CO2,gcb2025v15,observed
1798,fossil_co2,coal,23.105929,Mt_CO2,gcb2025v15,observed
1799,fossil_co2,coal,27.485207,Mt_CO2,gcb2025v15,observed
1800,fossil_co2,coal,32.798352,Mt_CO2,gcb2025v15,observed
1801,fossil_co2,coal,31.98605,Mt_CO2,gcb2025v15,observed
1802,fossil_co2,coal,40.310473,Mt_CO2,gcb2025v15,observed
1803,fossil_co2,coal,29.538506,Mt_CO2,gcb2025v15,observed
1804,fossil_co2,coal,31.769177,Mt_CO2,gcb2025v15,observed
1805,fossil_co2,coal,31.251817,Mt_CO2,gcb2025v15,observed
1806,fossil_co2,coal,32.704622,Mt_CO2,gcb2025v15,observed
1807,fossil_co2,coal,36.200654,Mt_CO2,gcb2025v15,observed
1808,fossil_co2,coal,35.497789,Mt_CO2,gcb2025v15,observed
1809,fossil_co2,coal,36.333813,Mt_CO2,gcb2025v15,observed
1810,fossil_co2,coal,39.492312,Mt_CO2,gcb2025v15,observed
1811,fossil_co2,coal,40.176681,Mt_CO2,gcb2025v15,observed
1812,fossil_co2,coal,40.814523,Mt_CO2,gcb2025v15,observed
1813,fossil_co2,coal,41.206139,Mt_CO2,gcb2025v15,observed
1814,fossil_co2,coal,42.226646,Mt_CO2,gcb2025v15,observed
1815,fossil_co2,coal,43.587265,Mt_CO2,gcb2025v15,observed
1816,fossil_co2,coal,45.496577,Mt_CO2,gcb2025v15,observed
1817,fossil_co2,coal,49.275922,Mt_CO2,gcb2025v15,observed
1818,fossil_co2,coal,51.39201,Mt_CO2,gcb2025v15,observed
1819,fossil_co2,coal,50.930167,Mt_CO2,gcb2025v15,observed
1820,fossil_co2,coal,50.733074,Mt_CO2,gcb2025v15,observed
1821,fossil_co2,coal,52.059349,Mt_CO2,gcb2025v15,observed
1822,fossil_co2,coal,54.021712,Mt_CO2,gcb2025v15,observed
1823,fossil_co2,coal,56.357763,Mt_CO2,gcb2025v15,observed
1824,fossil_co2,coal,57.583637,Mt_CO2,gcb2025v15,observed
1825,fossil_co2,coal,60.730867,Mt_CO2,gcb2025v15,observed
1826,fossil_co2,coal,61.38213,Mt_CO2,gcb2025v15,observed
1827,fossil_co2,coal,65.738568,Mt_CO2,gcb2025v15,observed
1828,fossil_co2,coal,66.68179,Mt_CO2,gcb2025v15,observed
1829,fossil_co2,coal,66.307408,Mt_CO2,gcb2025v15,observed
1830,fossil_co2,coal,88.988498,Mt_CO2,gcb2025v15,observed
1831,fossil_co2,coal,83.250906,Mt_CO2,gcb2025v15,observed
1832,fossil_co2,coal,82.091751,Mt_CO2,gcb2025v15,observed
1833,fossil_co2,coal,83.248945,Mt_CO2,gcb2025v15,observed
1834,fossil_co2,coal,88.763111,Mt_CO2,gcb2025v15,observed
1835,fossil_co2,coal,97.399594,Mt_CO2,gcb2025v15,observed
1836,fossil_co2,coal,106.894495,Mt_CO2,gcb2025v15,observed
1837,fossil_co2,coal,106.199422,Mt_CO2,gcb2025v15,observed
1838,fossil_co2,coal,105.845261,Mt_CO2,gcb2025v15,observed
1839,fossil_co2,coal,109.653034,Mt_CO2,gcb2025v15,observed
1840,fossil_co2,coal,118.808512,Mt_CO2,gcb2025v15,observed
1841,fossil_co2,coal,122.165547,Mt_CO2,gcb2025v15,observed
1842,fossil_co2,coal,129.388789,Mt_CO2,gcb2025v15,observed
1843,fossil_co2,coal,132.369389,Mt_CO2,gcb2025v15,observed
1844,fossil_co2,coal,141.966448,Mt_CO2,gcb2025v15,observed
1845,fossil_co2,coal,155.073404,Mt_CO2,gcb2025v15,observed
1846,fossil_co2,coal,157.701789,Mt_CO2,gcb2025v15,observed
1847,fossil_co2,coal,170.796751,Mt_CO2,gcb2025v15,observed
1848,fossil_co2,coal,173.64348,Mt_CO2,gcb2025v15,observed
1849,fossil_co2,coal,185.048032,Mt_CO2,gcb2025v15,observed
1850,fossil_co2,coal,196.847595,Mt_CO2,gcb2025v15,observed
1851,fossil_co2,coal,198.778547,Mt_CO2,gcb2025v15,observed
1852,fossil_co2,coal,207.595091,Mt_CO2,gcb2025v15,observed
1853,fossil_co2,coal,217.236968,Mt_CO2,gcb2025v15,observed
1854,fossil_co2,coal,255.038557,Mt_CO2,gcb2025v15,observed
1855,fossil_co2,coal,260.223211,Mt_CO2,gcb2025v15,observed
1856,fossil_co2,coal,278.205323,Mt_CO2,gcb2025v15,observed
1857,fossil_co2,coal,281.129752,Mt_CO2,gcb2025v15,observed
1858,fossil_co2,coal,285.486095,Mt_CO2,gcb2025v15,observed
1859,fossil_co2,coal,302.51721,Mt_CO2,gcb2025v15,observed
1860,fossil_co2,coal,332.025019,Mt_CO2,gcb2025v15,observed
1861,fossil_co2,coal,348.249187,Mt_CO2,gcb2025v15,observed
1862,fossil_co2,coal,354.592447,Mt_CO2,gcb2025v15,observed
1863,fossil_co2,coal,378.241821,Mt_CO2,gcb2025v15,observed
1864,fossil_co2,coal,408.415522,Mt_CO2,gcb2025v15,observed
1865,fossil_co2,coal,433.531608,Mt_CO2,gcb2025v15,observed
1866,fossil_co2,coal,447.115242,Mt_CO2,gcb2025v15,observed
1867,fossil_co2,coal,478.829139,Mt_CO2,gcb2025v15,observed
1868,fossil_co2,coal,492.20504,Mt_CO2,gcb2025v15,observed
1869,fossil_co2,coal,522.117078,Mt_CO2,gcb2025v15,observed
1870,fossil_co2,coal,532.990507,Mt_CO2,gcb2025v15,observed
1871,fossil_co2,coal,566.494835,Mt_CO2,gcb2025v15,observed
1872,fossil_co2,coal,627.263589,Mt_CO2,gcb2025v15,observed
1873,fossil_co2,coal,664.79834,Mt_CO2,gcb2025v15,observed
1874,fossil_co2,coal,622.420105,Mt_CO2,gcb2025v15,observed
1875,fossil_co2,coal,675.21403,Mt_CO2,gcb2025v15,observed
1876,fossil_co2,coal,684.04842,Mt_CO2,gcb2025v15,observed
1877,fossil_co2,coal,695.211086,Mt_CO2,gcb2025v15,observed
1878,fossil_co2,coal,699.611829,Mt_CO2,gcb2025v15,observed
1879,fossil_co2,coal,747.137823,Mt_CO2,gcb2025v15,observed
1880,fossil_co2,coal,842.69502,Mt_CO2,gcb2025v15,observed
1881,fossil_co2,coal,870.726018,Mt_CO2,gcb2025v15,observed
1882,fossil_co2,coal,918.787436,Mt_CO2,gcb2025v15,observed
1883,fossil_co2,coal,980.635605,Mt_CO2,gcb2025v15,observed
1884,fossil_co2,coal,989.938063,Mt_CO2,gcb2025v15,observed
1885,fossil_co2,coal,994.472968,Mt_CO2,gcb2025v15,observed
1886,fossil_co2,coal,1003.116529,Mt_CO2,gcb2025v15,observed
1887,fossil_co2,coal,1048.460495,Mt_CO2,gcb2025v15,observed
1888,fossil_co2,coal,1159.448804,Mt_CO2,gcb2025v15,observed
1889,fossil_co2,coal,1160.884676,Mt_CO2,gcb2025v15,observed
1890,fossil_co2,coal,1260.254352,Mt_CO2,gcb2025v15,observed
1891,fossil_co2,coal,1319.138154,Mt_CO2,gcb2025v15,observed
1892,fossil_co2,coal,1331.82921,Mt_CO2,gcb2025v15,observed
1893,fossil_co2,coal,1312.682691,Mt_CO2,gcb2025v15,observed
1894,fossil_co2,coal,1363.137056,Mt_CO2,gcb2025v15,observed
1895,fossil_co2,coal,1439.659395,Mt_CO2,gcb2025v15,observed
1896,fossil_co2,coal,1485.243732,Mt_CO2,gcb2025v15,observed
1897,fossil_co2,coal,1554.677015,Mt_CO2,gcb2025v15,observed
1898,fossil_co2,coal,1640.331027,Mt_CO2,gcb2025v15,observed
1899,fossil_co2,coal,1792.204038,Mt_CO2,gcb2025v15,observed
1900,fossil_co2,coal,1882.644532,Mt_CO2,gcb2025v15,observed
1901,fossil_co2,coal,1936.355565,Mt_CO2,gcb2025v15,observed
1902,fossil_co2,coal,1980.298711,Mt_CO2,gcb2025v15,observed
1903,fossil_co2,coal,2161.955266,Mt_CO2,gcb2025v15,observed
1904,fossil_co2,coal,2174.434326,Mt_CO2,gcb2025v15,observed
1905,fossil_co2,coal,2320.898358,Mt_CO2,gcb2025v15,observed
1906,fossil_co2,coal,2425.448918,Mt_CO2,gcb2025v15,observed
1907,fossil_co2,coal,2758.97917,Mt_CO2,gcb2025v15,observed
1908,fossil_co2,coal,2635.282419,Mt_CO2,gcb2025v15,observed
1909,fossil_co2,coal,2740.823245,Mt_CO2,gcb2025v15,observed
1910,fossil_co2,coal,2871.834234,Mt_CO2,gcb2025v15,observed
1911,fossil_co2,coal,2909.143627,Mt_CO2,gcb2025v15,observed
1912,fossil_co2,coal,3058.47641,Mt_CO2,gcb2025v15,observed
1913,fossil_co2,coal,3302.354196,Mt_CO2,gcb2025v15,observed
1914,fossil_co2,coal,2971.22554,Mt_CO2,gcb2025v15,observed
1915,fossil_co2,coal,2908.266346,Mt_CO2,gcb2025v15,observed
1916,fossil_co2,coal,3135.505393,Mt_CO2,gcb2025v15,observed
1917,fossil_co2,coal,3265.621481,Mt_CO2,gcb2025v15,observed
1918,fossil_co2,coal,3215.897165,Mt_CO2,gcb2025v15,observed
1919,fossil_co2,coal,2720.154736,Mt_CO2,gcb2025v15,observed
1920,fossil_co2,coal,3132.616325,Mt_CO2,gcb2025v15,observed
1921,fossil_co2,coal,2672.104375,Mt_CO2,gcb2025v15,observed
1922,fossil_co2,coal,2773.434172,Mt_CO2,gcb2025v15,observed
1923,fossil_co2,coal,3149.714714,Mt_CO2,gcb2025v15,observed
1924,fossil_co2,coal,3155.95212,Mt_CO2,gcb2025v15,observed
1925,fossil_co2,coal,3153.677205,Mt_CO2,gcb2025v15,observed
1926,fossil_co2,coal,3084.04399,Mt_CO2,gcb2025v15,observed
1927,fossil_co2,coal,3364.399216,Mt_CO2,gcb2025v15,observed
1928,fossil_co2,coal,3307.581127,Mt_CO2,gcb2025v15,observed
1929,fossil_co2,coal,3523.883471,Mt_CO2,gcb2025v15,observed
1930,fossil_co2,coal,3216.250773,Mt_CO2,gcb2025v15,observed
1931,fossil_co2,coal,2833.195549,Mt_CO2,gcb2025v15,observed
1932,fossil_co2,coal,2522.369989,Mt_CO2,gcb2025v15,observed
1933,fossil_co2,coal,2638.807124,Mt_CO2,gcb2025v15,observed
1934,fossil_co2,coal,2880.470116,Mt_CO2,gcb2025v15,observed
1935,fossil_co2,coal,2998.368683,Mt_CO2,gcb2025v15,observed
1936,fossil_co2,coal,3287.72059,Mt_CO2,gcb2025v15,observed
1937,fossil_co2,coal,3465.992,Mt_CO2,gcb2025v15,observed
1938,fossil_co2,coal,3230.585761,Mt_CO2,gcb2025v15,observed
1939,fossil_co2,coal,3435.781119,Mt_CO2,gcb2025v15,observed
1940,fossil_co2,coal,3795.503203,Mt_CO2,gcb2025v15,observed
1941,fossil_co2,coal,3885.962925,Mt_CO2,gcb2025v15,observed
1942,fossil_co2,coal,3910.556195,Mt_CO2,gcb2025v15,observed
1943,fossil_co2,coal,3926.685971,Mt_CO2,gcb2025v15,observed
1944,fossil_co2,coal,3869.107221,Mt_CO2,gcb2025v15,observed
1945,fossil_co2,coal,2999.875928,Mt_CO2,gcb2025v15,observed
1946,fossil_co2,coal,3236.010587,Mt_CO2,gcb2025v15,observed
1947,fossil_co2,coal,3623.153676,Mt_CO2,gcb2025v15,observed
1948,fossil_co2,coal,3740.72687,Mt_CO2,gcb2025v15,observed
1949,fossil_co2,coal,3547.27403,Mt_CO2,gcb2025v15,observed
1950,fossil_co2,coal,3879.954702,Mt_CO2,gcb2025v15,observed
1951,fossil_co2,coal,4084.145989,Mt_CO2,gcb2025v15,observed
1952,fossil_co2,coal,4030.055701,Mt_CO2,gcb2025v15,observed
1953,fossil_co2,coal,4061.100833,Mt_CO2,gcb2025v15,observed
1954,fossil_co2,coal,4053.675811,Mt_CO2,gcb2025v15,observed
1955,fossil_co2,coal,4386.082611,Mt_CO2,gcb2025v15,observed
1956,fossil_co2,coal,4608.296664,Mt_CO2,gcb2025v15,observed
1957,fossil_co2,coal,4691.58259,Mt_CO2,gcb2025v15,observed
1958,fossil_co2,coal,4761.45831,Mt_CO2,gcb2025v15,observed
1959,fossil_co2,coal,4953.932083,Mt_CO2,gcb2025v15,observed
1960,fossil_co2,coal,5158.32269,Mt_CO2,gcb2025v15,observed
1961,fossil_co2,coal,4944.186259,Mt_CO2,gcb2025v15,observed
1962,fossil_co2,coal,4928.587274,Mt_CO2,gcb2025v15,observed
1963,fossil_co2,coal,5107.930903,Mt_CO2,gcb2025v15,observed
1964,fossil_co2,coal,5213.214669,Mt_CO2,gcb2025v15,observed
1965,fossil_co2,coal,5289.088473,Mt_CO2,gcb2025v15,observed
1966,fossil_co2,coal,5349.977627,Mt_CO2,gcb2025v15,observed
1967,fossil_co2,coal,5261.868015,Mt_CO2,gcb2025v15,observed
1968,fossil_co2,coal,5319.658545,Mt_CO2,gcb2025v15,observed
1969,fossil_co2,coal,5518.273393,Mt_CO2,gcb2025v15,observed
1970,fossil_co2,coal,5698.858391,Mt_CO2,gcb2025v15,observed
1971,fossil_co2,coal,5700.055145,Mt_CO2,gcb2025v15,observed
1972,fossil_co2,coal,5691.283832,Mt_CO2,gcb2025v15,observed
1973,fossil_co2,coal,5860.89836,Mt_CO2,gcb2025v15,observed
1974,fossil_co2,coal,5857.693323,Mt_CO2,gcb2025v15,observed
1975,fossil_co2,coal,6018.315147,Mt_CO2,gcb2025v15,observed
1976,fossil_co2,coal,6226.339693,Mt_CO2,gcb2025v15,observed
1977,fossil_co2,coal,6375.023526,Mt_CO2,gcb2025v15,observed
1978,fossil_co2,coal,6510.127937,Mt_CO2,gcb2025v15,observed
1979,fossil_co2,coal,6799.881737,Mt_CO2,gcb2025v15,observed
1980,fossil_co2,coal,6984.98964,Mt_CO2,gcb2025v15,observed
1981,fossil_co2,coal,6942.94159,Mt_CO2,gcb2025v15,observed
1982,fossil_co2,coal,7066.996591,Mt_CO2,gcb2025v15,observed
1983,fossil_co2,coal,7269.239293,Mt_CO2,gcb2025v15,observed
1984,fossil_co2,coal,7586.115448,Mt_CO2,gcb2025v15,observed
1985,fossil_co2,coal,8144.82407,Mt_CO2,gcb2025v15,observed
1986,fossil_co2,coal,8261.465915,Mt_CO2,gcb2025v15,observed
1987,fossil_co2,coal,8549.229579,Mt_CO2,gcb2025v15,observed
1988,fossil_co2,coal,8836.428772,Mt_CO2,gcb2025v15,observed
1989,fossil_co2,coal,8827.797371,Mt_CO2,gcb2025v15,observed
1990,fossil_co2,coal,8659.787366,Mt_CO2,gcb2025v15,observed
1991,fossil_co2,coal,8574.090079,Mt_CO2,gcb2025v15,observed
1992,fossil_co2,coal,8361.173994,Mt_CO2,gcb2025v15,observed
1993,fossil_co2,coal,8470.028537,Mt_CO2,gcb2025v15,observed
1994,fossil_co2,coal,8513.746621,Mt_CO2,gcb2025v15,observed
1995,fossil_co2,coal,8758.441189,Mt_CO2,gcb2025v15,observed
1996,fossil_co2,coal,8976.963535,Mt_CO2,gcb2025v15,observed
1997,fossil_co2,coal,8927.300262,Mt_CO2,gcb2025v15,observed
1998,fossil_co2,coal,8689.001059,Mt_CO2,gcb2025v15,observed
1999,fossil_co2,coal,8809.092638,Mt_CO2,gcb2025v15,observed
2000,fossil_co2,coal,9156.637667,Mt_CO2,gcb2025v15,observed
2001,fossil_co2,coal,9208.428677,Mt_CO2,gcb2025v15,observed
2002,fossil_co2,coal,9630.181154,Mt_CO2,gcb2025v15,observed
2003,fossil_co2,coal,10466.565903,Mt_CO2,gcb2025v15,observed
2004,fossil_co2,coal,10813.391565,Mt_CO2,gcb2025v15,observed
2005,fossil_co2,coal,11498.500241,Mt_CO2,gcb2025v15,observed
2006,fossil_co2,coal,12136.238063,Mt_CO2,gcb2025v15,observed
2007,fossil_co2,coal,12724.451456,Mt_CO2,gcb2025v15,observed
2008,fossil_co2,coal,13149.668957,Mt_CO2,gcb2025v15,observed
2009,fossil_co2,coal,13003.172307,Mt_CO2,gcb2025v15,observed
2010,fossil_co2,coal,13918.223351,Mt_CO2,gcb2025v15,observed
2011,fossil_co2,coal,14704.222466,Mt_CO2,gcb2025v15,observed
2012,fossil_co2,coal,14867.801934,Mt_CO2,gcb2025v15,observed
2013,fossil_co2,coal,14953.153144,Mt_CO2,gcb2025v15,observed
2014,fossil_co2,coal,15014.883803,Mt_CO2,gcb2025v15,observed
2015,fossil_co2,coal,14655.01626,Mt_CO2,gcb2025v15,observed
2016,fossil_co2,coal,14322.989016,Mt_CO2,gcb2025v15,observed
2017,fossil_co2,coal,14494.167923,Mt_CO2,gcb2025v15,observed
2018,fossil_co2,coal,14762.69449,Mt_CO2,gcb2025v15,observed
2019,fossil_co2,coal,14702.957496,Mt_CO2,gcb2025v15,observed
2020,fossil_co2,coal,14267.036542,Mt_CO2,gcb2025v15,observed
2021,fossil_co2,coal,14969.249387,Mt_CO2,gcb2025v15,observed
2022,fossil_co2,coal,15449.176992,Mt_CO2,gcb2025v15,observed
2023,fossil_co2,coal,15636.373338,Mt_CO2,gcb2025v15,observed
2024,fossil_co2,coal,15805.254152,Mt_CO2,gcb2025v15,observed
1882,fossil_co2,gas,0.16488,Mt_CO2,gcb2025v15,observed
1883,fossil_co2,gas,0.381051,Mt_CO2,gcb2025v15,observed
1884,fossil_co2,gas,1.17248,Mt_CO2,gcb2025v15,observed
1885,fossil_co2,gas,3.715296,Mt_CO2,gcb2025v15,observed
1886,fossil_co2,gas,7.67608,Mt_CO2,gcb2025v15,observed
1887,fossil_co2,gas,11.787088,Mt_CO2,gcb2025v15,observed
1888,fossil_co2,gas,16.773792,Mt_CO2,gcb2025v15,observed
1889,fossil_co2,gas,12.226768,Mt_CO2,gcb2025v15,observed
1890,fossil_co2,gas,11.688053,Mt_CO2,gcb2025v15,observed
1891,fossil_co2,gas,8.947488,Mt_CO2,gcb2025v15,observed
1892,fossil_co2,gas,7.775008,Mt_CO2,gcb2025v15,observed
1893,fossil_co2,gas,7.287696,Mt_CO2,gcb2025v15,observed
1894,fossil_co2,gas,6.69785,Mt_CO2,gcb2025v15,observed
1895,fossil_co2,gas,7.042154,Mt_CO2,gcb2025v15,observed
1896,fossil_co2,gas,6.847964,Mt_CO2,gcb2025v15,observed
1897,fossil_co2,gas,7.287643,Mt_CO2,gcb2025v15,observed
1898,fossil_co2,gas,8.460176,Mt_CO2,gcb2025v15,observed
1899,fossil_co2,gas,10.904064,Mt_CO2,gcb2025v15,observed
1900,fossil_co2,gas,11.5416,Mt_CO2,gcb2025v15,observed
1901,fossil_co2,gas,12.86064,Mt_CO2,gcb2025v15,observed
1902,fossil_co2,gas,13.696032,Mt_CO2,gcb2025v15,observed
1903,fossil_co2,gas,14.52776,Mt_CO2,gcb2025v15,observed
1904,fossil_co2,gas,15.165234,Mt_CO2,gcb2025v15,observed
1905,fossil_co2,gas,17.169504,Mt_CO2,gcb2025v15,observed
1906,fossil_co2,gas,19.027152,Mt_CO2,gcb2025v15,observed
1907,fossil_co2,gas,19.877139,Mt_CO2,gcb2025v15,observed
1908,fossil_co2,gas,19.67568,Mt_CO2,gcb2025v15,observed
1909,fossil_co2,gas,23.522878,Mt_CO2,gcb2025v15,observed
1910,fossil_co2,gas,24.9152,Mt_CO2,gcb2025v15,observed
1911,fossil_co2,gas,25.717653,Mt_CO2,gcb2025v15,observed
1912,fossil_co2,gas,28.315392,Mt_CO2,gcb2025v15,observed
1913,fossil_co2,gas,29.597792,Mt_CO2,gcb2025v15,observed
1914,fossil_co2,gas,30.136463,Mt_CO2,gcb2025v15,observed
1915,fossil_co2,gas,31.86575,Mt_CO2,gcb2025v15,observed
1916,fossil_co2,gas,38.37681,Mt_CO2,gcb2025v15,observed
1917,fossil_co2,gas,40.509124,Mt_CO2,gcb2025v15,observed
1918,fossil_co2,gas,36.51909,Mt_CO2,gcb2025v15,observed
1919,fossil_co2,gas,37.948035,Mt_CO2,gcb2025v15,observed
1920,fossil_co2,gas,41.685394,Mt_CO2,gcb2025v15,observed
1921,fossil_co2,gas,34.992362,Mt_CO2,gcb2025v15,observed
1922,fossil_co2,gas,40.107025,Mt_CO2,gcb2025v15,observed
1923,fossil_co2,gas,52.526129,Mt_CO2,gcb2025v15,observed
1924,fossil_co2,gas,59.709066,Mt_CO2,gcb2025v15,observed
1925,fossil_co2,gas,63.922737,Mt_CO2,gcb2025v15,observed
1926,fossil_co2,gas,69.144999,Mt_CO2,gcb2025v15,observed
1927,fossil_co2,gas,76.017499,Mt_CO2,gcb2025v15,observed
1928,fossil_co2,gas,82.623434,Mt_CO2,gcb2025v15,observed
1929,fossil_co2,gas,102.89475,Mt_CO2,gcb2025v15,observed
1930,fossil_co2,gas,104.224738,Mt_CO2,gcb2025v15,observed
1931,fossil_co2,gas,92.888512,Mt_CO2,gcb2025v15,observed
1932,fossil_co2,gas,88.219856,Mt_CO2,gcb2025v15,observed
1933,fossil_co2,gas,90.918567,Mt_CO2,gcb2025v15,observed
1934,fossil_co2,gas,101.951789,Mt_CO2,gcb2025v15,observed
1935,fossil_co2,gas,111.374393,Mt_CO2,gcb2025v15,observed
1936,fossil_co2,gas,125.531875,Mt_CO2,gcb2025v15,observed
1937,fossil_co2,gas,140.577743,Mt_CO2,gcb2025v15,observed
1938,fossil_co2,gas,135.496656,Mt_CO2,gcb2025v15,observed
1939,fossil_co2,gas,141.331385,Mt_CO2,gcb2025v15,observed
1940,fossil_co2,gas,153.519749,Mt_CO2,gcb2025v15,observed
1941,fossil_co2,gas,153.463219,Mt_CO2,gcb2025v15,observed
1942,fossil_co2,gas,166.048943,Mt_CO2,gcb2025v15,observed
1943,fossil_co2,gas,182.899895,Mt_CO2,gcb2025v15,observed
1944,fossil_co2,gas,197.600826,Mt_CO2,gcb2025v15,observed
1945,fossil_co2,gas,216.700332,Mt_CO2,gcb2025v15,observed
1946,fossil_co2,gas,223.837378,Mt_CO2,gcb2025v15,observed
1947,fossil_co2,gas,247.892578,Mt_CO2,gcb2025v15,observed
1948,fossil_co2,gas,280.127246,Mt_CO2,gcb2025v15,observed
1949,fossil_co2,gas,300.459761,Mt_CO2,gcb2025v15,observed
1950,fossil_co2,gas,353.156018,Mt_CO2,gcb2025v15,observed
1951,fossil_co2,gas,416.186358,Mt_CO2,gcb2025v15,observed
1952,fossil_co2,gas,447.085956,Mt_CO2,gcb2025v15,observed
1953,fossil_co2,gas,474.530281,Mt_CO2,gcb2025v15,observed
1954,fossil_co2,gas,501.356006,Mt_CO2,gcb2025v15,observed
1955,fossil_co2,gas,547.242116,Mt_CO2,gcb2025v15,observed
1956,fossil_co2,gas,587.241989,Mt_CO2,gcb2025v15,observed
1957,fossil_co2,gas,646.687136,Mt_CO2,gcb2025v15,observed
1958,fossil_co2,gas,705.853109,Mt_CO2,gcb2025v15,observed
1959,fossil_co2,gas,758.25998,Mt_CO2,gcb2025v15,observed
1960,fossil_co2,gas,834.617845,Mt_CO2,gcb2025v15,observed
1961,fossil_co2,gas,882.125612,Mt_CO2,gcb2025v15,observed
1962,fossil_co2,gas,967.819859,Mt_CO2,gcb2025v15,observed
1963,fossil_co2,gas,1046.950021,Mt_CO2,gcb2025v15,observed
