year,check,category,inflow,outflow,residual,residual_share
1900,haas2020_input_equals_output,biomass,5.280084544,5.280084544,-1.399946825e-11,-2.651371988e-12
1901,haas2020_input_equals_output,biomass,5.340659106,5.340659106,1.889999268e-10,3.538887674e-11
1902,haas2020_input_equals_output,biomass,5.401211309,5.401211308,1.169997432e-10,2.166176003e-11
1903,haas2020_input_equals_output,biomass,5.461741715,5.461741715,-1.530002791e-10,-2.80130931e-11
1904,haas2020_input_equals_output,biomass,5.522300984,5.522300983,4.809992404e-10,8.710123585e-11
1905,haas2020_input_equals_output,biomass,5.582877868,5.582877868,-5.000000414e-11,-8.955955211e-12
1906,haas2020_input_equals_output,biomass,5.64342062,5.64342062,8.300027332e-11,1.470744056e-11
1907,haas2020_input_equals_output,biomass,5.703994284,5.703994284,-2.520001985e-10,-4.417960221e-11
1908,haas2020_input_equals_output,biomass,5.764577096,5.764577096,-3.47998963e-10,-6.036851571e-11
1909,haas2020_input_equals_output,biomass,5.825164631,5.82516463,7.110001476e-10,1.220566615e-10
1910,haas2020_input_equals_output,biomass,5.885700712,5.885700713,-2.779998454e-10,-4.723309236e-11
1911,haas2020_input_equals_output,biomass,5.956878619,5.956878619,-1.029993868e-10,-1.729083189e-11
1912,haas2020_input_equals_output,biomass,6.028020176,6.028020175,3.859996767e-10,6.403423768e-11
1913,haas2020_input_equals_output,biomass,6.099222693,6.099222693,-4.109992346e-10,-6.738551047e-11
1914,haas2020_input_equals_output,biomass,6.170402594,6.170402594,1.050004528e-10,1.701679124e-11
1915,haas2020_input_equals_output,biomass,6.24157141,6.24157141,3.589990527e-10,5.751741495e-11
1916,haas2020_input_equals_output,biomass,6.312828015,6.312828015,-2.500009089e-10,-3.960204654e-11
1917,haas2020_input_equals_output,biomass,6.383954918,6.383954918,-1.799991267e-10,-2.819555104e-11
1918,haas2020_input_equals_output,biomass,6.455107034,6.455107034,-1.200000099e-10,-1.858993341e-11
1919,haas2020_input_equals_output,biomass,6.526354683,6.526354682,9.400000778e-10,1.440314116e-10
1920,haas2020_input_equals_output,biomass,6.597493174,6.597493174,-4.199991466e-10,-6.366041397e-11
1921,haas2020_input_equals_output,biomass,6.668711136,6.668711136,-2.800000232e-10,-4.198712726e-11
1922,haas2020_input_equals_output,biomass,6.739836968,6.739836967,5.999991615e-10,8.902280045e-11
1923,haas2020_input_equals_output,biomass,6.811085519,6.811085519,-1.999911348e-11,-2.936259341e-12
1924,haas2020_input_equals_output,biomass,6.882276215,6.882276215,-2.79999135e-10,-4.068408855e-11
1925,haas2020_input_equals_output,biomass,6.953453102,6.953453101,6.900000571e-10,9.923128078e-11
1926,haas2020_input_equals_output,biomass,7.024620042,7.024620042,-3.600000298e-10,-5.124832769e-11
1927,haas2020_input_equals_output,biomass,7.095809582,7.095809582,1.000000083e-10,1.409282579e-11
1928,haas2020_input_equals_output,biomass,7.166989998,7.166989998,-2.30000019e-10,-3.209157807e-11
1929,haas2020_input_equals_output,biomass,7.238181745,7.238181744,4.899991524e-10,6.769644223e-11
1930,haas2020_input_equals_output,biomass,7.309364595,7.309364595,-1.000000083e-10,-1.368108089e-11
1931,haas2020_input_equals_output,biomass,7.354196634,7.354196634,7.900000654e-10,1.074216675e-10
1932,haas2020_input_equals_output,biomass,7.398992401,7.398992402,-5.000000414e-10,-6.757677455e-11
1933,haas2020_input_equals_output,biomass,7.443894939,7.443894939,-9.000000745e-11,-1.209044569e-11
1934,haas2020_input_equals_output,biomass,7.488754146,7.488754146,8.000000662e-11,1.068268567e-11
1935,haas2020_input_equals_output,biomass,7.533533636,7.533533637,-5.600000463e-10,-7.433431287e-11
1936,haas2020_input_equals_output,biomass,7.578423208,7.578423208,6.000000496e-11,7.917214877e-12
1937,haas2020_input_equals_output,biomass,7.62322929,7.62322929,-2.000000165e-10,-2.623560291e-11
1938,haas2020_input_equals_output,biomass,7.668003297,7.668003297,6.600009428e-10,8.607207342e-11
1939,haas2020_input_equals_output,biomass,7.712921935,7.712921935,-5.100000422e-10,-6.612280618e-11
1940,haas2020_input_equals_output,biomass,7.757848477,7.757848477,-3.200000265e-10,-4.124855331e-11
1941,haas2020_input_equals_output,biomass,7.802644534,7.802644534,3.500009171e-10,4.485670411e-11
1942,haas2020_input_equals_output,biomass,7.847470854,7.847470854,-6.000009378e-10,-7.645787401e-11
1943,haas2020_input_equals_output,biomass,7.892357246,7.892357246,2.30000019e-10,2.914211963e-11
1944,haas2020_input_equals_output,biomass,7.937186636,7.937186636,-6.200000513e-10,-7.811332652e-11
1945,haas2020_input_equals_output,biomass,7.982065599,7.982065599,1.999982402e-10,2.505595046e-11
1946,haas2020_input_equals_output,biomass,8.02683072,8.02683072,-1.700009022e-10,-2.117908153e-11
1947,haas2020_input_equals_output,biomass,8.071656975,8.071656975,-8.000000662e-11,-9.911224779e-12
1948,haas2020_input_equals_output,biomass,8.116565988,8.116565988,-3.600000298e-10,-4.435373658e-11
1949,haas2020_input_equals_output,biomass,8.161374249,8.16137425,-3.099991375e-10,-3.798369343e-11
1950,haas2020_input_equals_output,biomass,8.206297092,8.206297092,-2.800000232e-10,-3.412014214e-11
1951,haas2020_input_equals_output,biomass,8.322809866,8.322809866,0,0
1952,haas2020_input_equals_output,biomass,8.43949417,8.439494171,-4.500027018e-10,-5.332105132e-11
1953,haas2020_input_equals_output,biomass,8.55611943,8.556119431,-9.200018525e-10,-1.075255973e-10
1954,haas2020_input_equals_output,biomass,8.672801212,8.672801211,6.999982816e-10,8.071190201e-11
1955,haas2020_input_equals_output,biomass,8.789396262,8.789396263,-2.600035742e-10,-2.958150554e-11
1956,haas2020_input_equals_output,biomass,8.906100648,8.906100648,4.999911596e-11,5.614029971e-12
1957,haas2020_input_equals_output,biomass,9.022698235,9.022698236,-2.899991358e-10,-3.214106559e-11
1958,haas2020_input_equals_output,biomass,9.13933926,9.13933926,-6.099991623e-10,-6.674433949e-11
1959,haas2020_input_equals_output,biomass,9.25593153,9.255931529,5.80000048e-10,6.266252577e-11
1960,haas2020_input_equals_output,biomass,9.372614876,9.372614876,6.299991639e-10,6.721701172e-11
1961,haas2020_input_equals_output,biomass,9.489260415,9.489260415,3.600018061e-10,3.7937815e-11
1962,haas2020_input_equals_output,biomass,9.632133127,9.632133128,-5.500009337e-10,-5.710063663e-11
1963,haas2020_input_equals_output,biomass,9.753122448,9.753122448,-2.900009122e-10,-2.97341609e-11
1964,haas2020_input_equals_output,biomass,10.13722033,10.13722033,8.149999786e-09,8.039679042e-10
1965,haas2020_input_equals_output,biomass,10.31956488,10.31956488,4.169999457e-09,4.040867522e-10
1966,haas2020_input_equals_output,biomass,10.705589,10.70558899,6.379998752e-09,5.959502792e-10
1967,haas2020_input_equals_output,biomass,11.00151024,11.00151024,-3.760000311e-09,-3.417712868e-10
1968,haas2020_input_equals_output,biomass,11.2045531,11.2045531,-5.549997795e-09,-4.953341509e-10
1969,haas2020_input_equals_output,biomass,11.31120868,11.31120868,-9.000089563e-11,-7.956788542e-12
1970,haas2020_input_equals_output,biomass,11.60425701,11.60425701,4.530001263e-09,3.903740893e-10
1971,haas2020_input_equals_output,biomass,11.9516141,11.95161409,1.769999258e-09,1.480970891e-10
1972,haas2020_input_equals_output,biomass,11.94708725,11.94708724,6.389999641e-09,5.348583724e-10
1973,haas2020_input_equals_output,biomass,12.42831543,12.42831543,2.800000232e-10,2.252920154e-11
1974,haas2020_input_equals_output,biomass,12.55956164,12.55956164,-4.699991507e-10,-3.74216206e-11
1975,haas2020_input_equals_output,biomass,12.63373851,12.63373851,2.319998416e-09,1.83635146e-10
1976,haas2020_input_equals_output,biomass,13.01052257,13.01052257,7.46999973e-09,5.741506298e-10
1977,haas2020_input_equals_output,biomass,13.12850924,13.12850924,-9.400000778e-10,-7.159990983e-11
1978,haas2020_input_equals_output,biomass,13.5017175,13.5017175,7.600018392e-10,5.62892713e-11
1979,haas2020_input_equals_output,biomass,13.56423115,13.56423115,-1.119998316e-09,-8.256998158e-11
1980,haas2020_input_equals_output,biomass,13.56835767,13.56835767,3.26000027e-09,2.402649126e-10
1981,haas2020_input_equals_output,biomass,13.94479744,13.94479744,-2.740000227e-09,-1.964890662e-10
1982,haas2020_input_equals_output,biomass,14.24102085,14.24102084,6.739998781e-09,4.732805922e-10
1983,haas2020_input_equals_output,biomass,14.20274636,14.20274636,-5.109999535e-09,-3.597895369e-10
1984,haas2020_input_equals_output,biomass,14.75074845,14.75074845,1.140000094e-09,7.728422039e-11
1985,haas2020_input_equals_output,biomass,14.96048451,14.96048452,-2.500000207e-09,-1.671069011e-10
1986,haas2020_input_equals_output,biomass,15.13072018,15.13072018,3.72999942e-09,2.465183002e-10
1987,haas2020_input_equals_output,biomass,15.22509258,15.22509258,-1.300000108e-09,-8.538536636e-11
1988,haas2020_input_equals_output,biomass,15.28931022,15.28931022,-5.339998665e-09,-3.492635436e-10
1989,haas2020_input_equals_output,biomass,15.82358192,15.82358192,1.900000157e-09,1.200739609e-10
1990,haas2020_input_equals_output,biomass,16.13019056,16.13019057,-3.749999422e-09,-2.324832684e-10
1991,haas2020_input_equals_output,biomass,16.02908525,16.02908525,5.200035957e-10,3.244125211e-11
1992,haas2020_input_equals_output,biomass,16.24032723,16.24032724,-6.850001455e-09,-4.217896201e-10
1993,haas2020_input_equals_output,biomass,15.97322229,15.97322229,3.490001177e-09,2.184907411e-10
1994,haas2020_input_equals_output,biomass,16.2139749,16.21397491,-3.499998513e-09,-2.15863077e-10
1995,haas2020_input_equals_output,biomass,16.33185106,16.33185106,-6.999982816e-10,-4.286092735e-11
1996,haas2020_input_equals_output,biomass,16.80052992,16.80052992,1.000000083e-09,5.952193696e-11
1997,haas2020_input_equals_output,biomass,16.87405787,16.87405787,3.000018012e-10,1.777887711e-11
1998,haas2020_input_equals_output,biomass,16.92014626,16.92014626,-6.40000053e-09,-3.782473527e-10
1999,haas2020_input_equals_output,biomass,17.17195221,17.17195221,-4.000000331e-09,-2.329380074e-10
2000,haas2020_input_equals_output,biomass,17.28284353,17.28284353,-8.099998894e-09,-4.686728131e-10
2001,haas2020_input_equals_output,biomass,17.36406652,17.36406652,9.99946792e-11,5.758713206e-12
2002,haas2020_input_equals_output,biomass,17.57050628,17.57050627,1.300001884e-09,7.398773055e-11
2003,haas2020_input_equals_output,biomass,17.88894679,17.88894679,-6.000000496e-10,-3.354026689e-11
2004,haas2020_input_equals_output,biomass,18.54459406,18.54459406,-6.500005867e-09,-3.505067756e-10
2005,haas2020_input_equals_output,biomass,18.86192667,18.86192666,5.400004e-09,2.862912201e-10
2006,haas2020_input_equals_output,biomass,19.21547857,19.21547857,1.000003635e-09,5.204156804e-11
2007,haas2020_input_equals_output,biomass,19.93345973,19.93345973,2.999996696e-09,1.505005521e-10
2008,haas2020_input_equals_output,biomass,20.58273084,20.58273084,-2.000000165e-10,-9.716884417e-12
2009,haas2020_input_equals_output,biomass,20.61623495,20.61623495,0,0
2010,haas2020_input_equals_output,biomass,21.02441596,21.02441596,-4.99998265e-10,-2.378179094e-11
2011,haas2020_input_equals_output,biomass,21.54951468,21.54951469,-6.000004049e-09,-2.784287321e-10
2012,haas2020_input_equals_output,biomass,21.74821769,21.74821769,4.000000331e-09,1.839231328e-10
2013,haas2020_input_equals_output,biomass,22.45891775,22.45891775,-2.300001967e-09,-1.024092965e-10
2014,haas2020_input_equals_output,biomass,22.72967383,22.72967384,-4.899995076e-09,-2.155770079e-10
2015,haas2020_input_equals_output,biomass,22.88986995,22.88986994,6.899998795e-09,3.014433376e-10
1900,haas2020_input_equals_output,fossil,0.9674449631,0.9674449631,0,0
1901,haas2020_input_equals_output,fossil,0.9945563339,0.9945563339,0,0
1902,haas2020_input_equals_output,fossil,1.016628579,1.016628579,0,0
1903,haas2020_input_equals_output,fossil,1.114395693,1.114395693,0,0
1904,haas2020_input_equals_output,fossil,1.125502716,1.125502716,0,0
1905,haas2020_input_equals_output,fossil,1.188792326,1.188792326,0,0
1906,haas2020_input_equals_output,fossil,1.280764473,1.280764473,0,0
1907,haas2020_input_equals_output,fossil,1.417625727,1.417625727,0,0
1908,haas2020_input_equals_output,fossil,1.349321262,1.349321262,0,0
1909,haas2020_input_equals_output,fossil,1.40820668,1.40820668,0,0
1910,haas2020_input_equals_output,fossil,1.473345563,1.473345563,0,0
1911,haas2020_input_equals_output,fossil,1.503989375,1.503989375,0,0
1912,haas2020_input_equals_output,fossil,1.584716221,1.584716221,0,0
1913,haas2020_input_equals_output,fossil,1.699370061,1.699370061,0,0
1914,haas2020_input_equals_output,fossil,1.529214891,1.529214891,0,0
1915,haas2020_input_equals_output,fossil,1.514020971,1.514020971,0,0
1916,haas2020_input_equals_output,fossil,1.629912112,1.629912112,0,0
1917,haas2020_input_equals_output,fossil,1.720420503,1.720420503,0,0
1918,haas2020_input_equals_output,fossil,1.694956301,1.694956301,0,0
1919,haas2020_input_equals_output,fossil,1.496440284,1.496440284,0,0
1920,haas2020_input_equals_output,fossil,1.723399927,1.723399927,0,0
1921,haas2020_input_equals_output,fossil,1.476020173,1.476020173,-2.528999232e-11,-1.713390696e-11
1922,haas2020_input_equals_output,fossil,1.57814278,1.57814278,-5.059996866e-11,-3.206298524e-11
1923,haas2020_input_equals_output,fossil,1.79387524,1.79387524,-1.011999373e-10,-5.641414468e-11
1924,haas2020_input_equals_output,fossil,1.775711243,1.775711242,8.481999547e-10,4.776677278e-10
1925,haas2020_input_equals_output,fossil,1.785741231,1.785741231,-2.022999546e-10,-1.132862651e-10
1926,haas2020_input_equals_output,fossil,1.782714467,1.782714466,7.470999375e-10,4.190799768e-10
1927,haas2020_input_equals_output,fossil,1.902372897,1.902372896,6.964999688e-10,3.661216841e-10
1928,haas2020_input_equals_output,fossil,2.065291264,2.065291264,-3.540998605e-10,-1.71452747e-10
1929,haas2020_input_equals_output,fossil,2.060073193,2.060073193,-4.050000335e-10,-1.965949729e-10
1930,haas2020_input_equals_output,fossil,1.896365959,1.896365958,5.44999823e-10,2.873916928e-10
1931,haas2020_input_equals_output,fossil,1.691397595,1.691397596,-5.060001307e-10,-2.991609614e-10
1932,haas2020_input_equals_output,fossil,1.520362939,1.520362938,6.349998305e-10,4.176633185e-10
1933,haas2020_input_equals_output,fossil,1.599461733,1.599461733,3.730000753e-10,2.332035006e-10
1934,haas2020_input_equals_output,fossil,1.746018057,1.746018057,-9.200018525e-11,-5.269142829e-11
1935,haas2020_input_equals_output,fossil,1.838210724,1.838210724,-1.219999657e-10,-6.636886843e-11
1936,haas2020_input_equals_output,fossil,2.015176554,2.015176554,-4.800000397e-10,-2.381925488e-10
1937,haas2020_input_equals_output,fossil,2.14894637,2.148946371,-5.039999529e-10,-2.345335183e-10
1938,haas2020_input_equals_output,fossil,1.961674599,1.961674599,-1.90001348e-11,-9.685671012e-12
1939,haas2020_input_equals_output,fossil,2.158324311,2.15832431,5.869997821e-10,2.719701479e-10
1940,haas2020_input_equals_output,fossil,2.370280257,2.370280256,6.350000525e-10,2.679008318e-10
1941,haas2020_input_equals_output,fossil,2.447681176,2.447681176,2.450004644e-10,1.000949253e-10
1942,haas2020_input_equals_output,fossil,2.469791584,2.469791584,-3.700000306e-10,-1.498102241e-10
1943,haas2020_input_equals_output,fossil,2.543647746,2.543647746,-6.899991689e-11,-2.712636488e-11
1944,haas2020_input_equals_output,fossil,2.529573132,2.529573132,-1.570001906e-10,-6.206588323e-11
1945,haas2020_input_equals_output,fossil,2.065616949,2.06561695,-8.120002448e-10,-3.931030123e-10
1946,haas2020_input_equals_output,fossil,2.206678535,2.206678535,-4.86000129e-10,-2.202405658e-10
1947,haas2020_input_equals_output,fossil,2.477714917,2.477714916,6.620002324e-10,2.6718176e-10
1948,haas2020_input_equals_output,fossil,2.603893228,2.603893228,1.550000128e-10,5.952625521e-11
1949,haas2020_input_equals_output,fossil,2.517806111,2.517806111,1.010000972e-10,4.011432681e-11
1950,haas2020_input_equals_output,fossil,2.751761411,2.751761411,1.50699897e-10,5.476488492e-11
1951,haas2020_input_equals_output,fossil,2.935821511,2.935821512,-5.826001903e-10,-1.984453715e-10
1952,haas2020_input_equals_output,fossil,2.984792357,2.984792358,-8.717000455e-10,-2.920471313e-10
1953,haas2020_input_equals_output,fossil,3.030953097,3.030953097,-3.040057095e-11,-1.003003675e-11
1954,haas2020_input_equals_output,fossil,3.081555162,3.081555161,9.061000839e-10,2.940398715e-10
1955,haas2020_input_equals_output,fossil,3.358170969,3.35817097,-8.524998485e-10,-2.538583819e-10
1956,haas2020_input_equals_output,fossil,3.562493412,3.562493412,2.789999343e-10,7.831591585e-11
1957,haas2020_input_equals_output,fossil,3.71122275,3.71122275,3.520006508e-10,9.484762154e-11
1958,haas2020_input_equals_output,fossil,3.899910043,3.899910042,7.089999698e-10,1.817990574e-10
1959,haas2020_input_equals_output,fossil,4.117225628,4.117225628,-2.130002841e-10,-5.173393526e-11
1960,haas2020_input_equals_output,fossil,4.422777226,4.422777226,-2.210001071e-10,-4.996862736e-11
1961,haas2020_input_equals_output,fossil,4.47803806,4.47803806,4.690008382e-10,1.047335534e-10
1962,haas2020_input_equals_output,fossil,4.746241353,4.746241354,-5.100000422e-10,-1.074534572e-10
1963,haas2020_input_equals_output,fossil,5.113097356,5.113097355,5.749996035e-10,1.124562205e-10
1964,haas2020_input_equals_output,fossil,5.385983445,5.385983445,2.599964688e-11,4.82727939e-12
1965,haas2020_input_equals_output,fossil,5.28333271,5.28333271,-3.259996717e-10,-6.170341517e-11
1966,haas2020_input_equals_output,fossil,5.517977697,5.517977697,2.200017946e-11,3.987000431e-12
1967,haas2020_input_equals_output,fossil,5.554445515,5.554445515,-2.500044616e-11,-4.500979637e-12
1968,haas2020_input_equals_output,fossil,5.881066318,5.881066318,4.820002175e-10,8.195796331e-11
1969,haas2020_input_equals_output,fossil,6.063904955,6.063904955,4.500000372e-10,7.420961255e-11
1970,haas2020_input_equals_output,fossil,6.309365378,6.309365379,-2.711102454e-10,-4.29694952e-11
1971,haas2020_input_equals_output,fossil,6.512796606,6.512796606,-3.307087937e-10,-5.077830826e-11
1972,haas2020_input_equals_output,fossil,6.746885974,6.746885974,-3.686002614e-10,-5.463265021e-11
1973,haas2020_input_equals_output,fossil,7.060648699,7.060648699,-4.890043925e-11,-6.925771461e-12
1974,haas2020_input_equals_output,fossil,7.109103326,7.109103326,-1.430002783e-10,-2.011509353e-11
1975,haas2020_input_equals_output,fossil,7.172053037,7.172053036,4.494999928e-10,6.267382442e-11
1976,haas2020_input_equals_output,fossil,7.506698526,7.506698527,-4.340003912e-10,-5.781508204e-11
1977,haas2020_input_equals_output,fossil,7.772810905,7.772810905,-7.360068111e-11,-9.468991592e-12
1978,haas2020_input_equals_output,fossil,7.915245717,7.915245717,2.279980649e-10,2.880492571e-11
1979,haas2020_input_equals_output,fossil,8.270168172,8.270168172,-4.240003904e-10,-5.126865398e-11
1980,haas2020_input_equals_output,fossil,8.227486226,8.227486226,2.139994848e-10,2.601031213e-11
1981,haas2020_input_equals_output,fossil,8.110905402,8.110905402,2.749995787e-10,3.390491752e-11
1982,haas2020_input_equals_output,fossil,8.300589391,8.300589391,4.400035891e-11,5.300871642e-12
1983,haas2020_input_equals_output,fossil,8.32817376,8.32817376,4.209983473e-10,5.055110033e-11
1984,haas2020_input_equals_output,fossil,8.702833616,8.702833616,1.739994815e-10,1.999342848e-11
1985,haas2020_input_equals_output,fossil,8.707791039,8.707791039,3.050022457e-10,3.502636252e-11
1986,haas2020_input_equals_output,fossil,8.954339139,8.954339139,3.349995836e-10,3.7411983e-11
1987,haas2020_input_equals_output,fossil,9.142654898,9.142654899,-4.400000364e-10,-4.812606855e-11
1988,haas2020_input_equals_output,fossil,9.391381262,9.391381262,-7.000622304e-12,-7.454305292e-13
1989,haas2020_input_equals_output,fossil,9.562515377,9.562515377,-7.199929541e-11,-7.529325975e-12
1990,haas2020_input_equals_output,fossil,9.502472797,9.502472797,1.349995671e-10,1.42067828e-11
1991,haas2020_input_equals_output,fossil,9.356692227,9.356692227,-1.769997482e-10,-1.891691464e-11
1992,haas2020_input_equals_output,fossil,9.202570128,9.202570128,-2.150013501e-10,-2.336318518e-11
1993,haas2020_input_equals_output,fossil,9.150008211,9.150008211,-1.829985052e-10,-1.999981869e-11
1994,haas2020_input_equals_output,fossil,9.277453235,9.277453235,4.56997995e-10,4.925899203e-11
1995,haas2020_input_equals_output,fossil,9.508590032,9.508590032,3.619984312e-10,3.807067399e-11
1996,haas2020_input_equals_output,fossil,9.726841426,9.726841426,-1.129993876e-10,-1.161727458e-11
1997,haas2020_input_equals_output,fossil,9.801142848,9.801142848,3.699973661e-11,3.775043093e-12
1998,haas2020_input_equals_output,fossil,9.866925141,9.866925141,-2.499991325e-10,-2.533708617e-11
1999,haas2020_input_equals_output,fossil,9.792910983,9.792910983,-1.000017846e-10,-1.021165053e-11
2000,haas2020_input_equals_output,fossil,10.1144155,10.1144155,1.700009022e-10,1.680778314e-11
2001,haas2020_input_equals_output,fossil,10.37658068,10.37658068,-1.369997449e-09,-1.320278318e-10
2002,haas2020_input_equals_output,fossil,10.44432776,10.44432777,-2.770001117e-09,-2.652158358e-10
2003,haas2020_input_equals_output,fossil,11.00428049,11.00428049,6.200000513e-10,5.634171648e-11
2004,haas2020_input_equals_output,fossil,11.59446436,11.59446435,1.209999212e-09,1.043600786e-10
2005,haas2020_input_equals_output,fossil,12.0522649,12.05226489,3.640000301e-09,3.02017947e-10
2006,haas2020_input_equals_output,fossil,12.4575286,12.45752861,-2.349999306e-09,-1.886408919e-10
2007,haas2020_input_equals_output,fossil,12.70921854,12.70921853,4.529999487e-09,3.564341485e-10
2008,haas2020_input_equals_output,fossil,13.01027391,13.01027392,-5.500009337e-10,-4.227435466e-11
2009,haas2020_input_equals_output,fossil,12.9356236,12.9356236,3.150001149e-09,2.435136679e-10
2010,haas2020_input_equals_output,fossil,13.52468691,13.5246869,1.930001048e-09,1.42702087e-10
2011,haas2020_input_equals_output,fossil,14.23127835,14.23127835,8.000178298e-11,5.621545797e-12
2012,haas2020_input_equals_output,fossil,14.46086738,14.46086738,1.59000102e-09,1.099519813e-10
2013,haas2020_input_equals_output,fossil,14.62465391,14.62465391,-5.500009337e-10,-3.760779142e-11
2014,haas2020_input_equals_output,fossil,14.65853894,14.65853894,2.940000243e-09,2.005657081e-10
2015,haas2020_input_equals_output,fossil,14.63308814,14.63308814,-1.78999926e-09,-1.223254615e-10
1900,haas2020_input_equals_output,metals,0.159191578,0.159191578,4.000000331e-11,2.512695948e-10
1901,haas2020_input_equals_output,metals,0.1641186326,0.1641186326,1.600003463e-11,9.749066501e-11
1902,haas2020_input_equals_output,metals,0.1686729863,0.1686729863,1.000005634e-12,5.928665021e-12
1903,haas2020_input_equals_output,metals,0.1731059951,0.1731059952,-3.700004192e-11,-2.137421173e-10
1904,haas2020_input_equals_output,metals,0.1790690997,0.1790690996,6.699998889e-11,3.741571774e-10
1905,haas2020_input_equals_output,metals,0.2053608326,0.2053608326,-1.399996785e-11,-6.81725316e-11
1906,haas2020_input_equals_output,metals,0.1960098982,0.1960098982,5.899999933e-11,3.010052036e-10
1907,haas2020_input_equals_output,metals,0.2322923465,0.2322923465,-9.999778783e-13,-4.304824904e-12
1908,haas2020_input_equals_output,metals,0.2160412579,0.2160412579,1.100000646e-11,5.09162304e-11
1909,haas2020_input_equals_output,metals,0.2394798593,0.2394798593,-7.000011681e-12,-2.923006428e-11
1910,haas2020_input_equals_output,metals,0.2625354639,0.2625354639,-8.999967438e-12,-3.428095886e-11
1911,haas2020_input_equals_output,metals,0.258966549,0.258966549,-2.800004673e-11,-1.08122253e-10
1912,haas2020_input_equals_output,metals,0.2889354088,0.2889354088,4.999994863e-11,1.730488791e-10
1913,haas2020_input_equals_output,metals,0.3220688806,0.3220688805,1.999994614e-11,6.209835023e-11
1914,haas2020_input_equals_output,metals,0.2546336815,0.2546336815,2.000000165e-11,7.854421118e-11
1915,haas2020_input_equals_output,metals,0.259933165,0.259933165,-2.000000165e-11,-7.694286205e-11
1916,haas2020_input_equals_output,metals,0.304241304,0.3042413041,-1.000005634e-11,-3.286883209e-11
1917,haas2020_input_equals_output,metals,0.311299767,0.3112997671,-9.000006296e-11,-2.891106018e-10
1918,haas2020_input_equals_output,metals,0.2932570603,0.2932570603,4.000000331e-11,1.363991144e-10
1919,haas2020_input_equals_output,metals,0.245351981,0.245351981,-6.999995028e-11,-2.853041985e-10
1920,haas2020_input_equals_output,metals,0.2616137087,0.2616137087,2.000005717e-11,7.644881173e-11
1921,haas2020_input_equals_output,metals,0.1779711806,0.1779711805,6.000000496e-11,3.371332637e-10
1922,haas2020_input_equals_output,metals,0.2372639751,0.2372639751,-1.99999739e-11,-8.429418707e-11
1923,haas2020_input_equals_output,metals,0.2972602113,0.2972602114,-3.000000248e-11,-1.009216886e-10
1924,haas2020_input_equals_output,metals,0.3050544846,0.3050544846,1.000000083e-11,3.278103202e-11
1925,haas2020_input_equals_output,metals,0.3427240615,0.3427240615,3.000000248e-11,8.753398391e-11
1926,haas2020_input_equals_output,metals,0.3489536832,0.3489536833,-1.099999536e-10,-3.152279483e-10
1927,haas2020_input_equals_output,metals,0.3741367626,0.3741367626,-2.999994697e-11,-8.018444047e-11
1928,haas2020_input_equals_output,metals,0.4000182534,0.4000182535,-1.999994614e-11,-4.999758379e-11
1929,haas2020_input_equals_output,metals,0.4479585542,0.4479585541,7.999995111e-11,1.785878411e-10
1930,haas2020_input_equals_output,metals,0.400866184,0.400866184,-2.999994697e-11,-7.483780915e-11
1931,haas2020_input_equals_output,metals,0.3104109377,0.3104109376,6.999995028e-11,2.255073575e-10
1932,haas2020_input_equals_output,metals,0.215576525,0.215576525,2.000002941e-11,9.277461638e-11
1933,haas2020_input_equals_output,metals,0.243714277,0.243714277,-5.000000414e-11,-2.051582893e-10
1934,haas2020_input_equals_output,metals,0.3092970985,0.3092970985,4.000000331e-11,1.293255045e-10
1935,haas2020_input_equals_output,metals,0.3541876953,0.3541876952,7.000000579e-11,1.976353406e-10
1936,haas2020_input_equals_output,metals,0.4271889354,0.4271889353,5.000000414e-11,1.170442397e-10
1937,haas2020_input_equals_output,metals,0.5265901931,0.5265901931,1.999989063e-11,3.797999069e-11
1938,haas2020_input_equals_output,metals,0.444531435,0.444531435,-3.000000248e-11,-6.748679648e-11
1939,haas2020_input_equals_output,metals,0.5012971926,0.5012971925,7.000000579e-11,1.396377375e-10
1940,haas2020_input_equals_output,metals,0.5490427418,0.5490427419,-1.100000091e-10,-2.003487174e-10
1941,haas2020_input_equals_output,metals,0.5776678595,0.5776678595,0,0
1942,haas2020_input_equals_output,metals,0.5594178065,0.5594178066,-1.099998981e-10,-1.96632815e-10
1943,haas2020_input_equals_output,metals,0.5741194161,0.574119416,2.000011268e-11,3.48361545e-11
1944,haas2020_input_equals_output,metals,0.5040379202,0.5040379202,4.000011433e-11,7.935933533e-11
1945,haas2020_input_equals_output,metals,0.4292423446,0.4292423445,6.999995028e-11,1.630779236e-10
1946,haas2020_input_equals_output,metals,0.3978356334,0.3978356334,-5.551115123e-17,-1.395328788e-16
1947,haas2020_input_equals_output,metals,0.473949394,0.4739493941,-3.000000248e-11,-6.329790239e-11
1948,haas2020_input_equals_output,metals,0.5355105268,0.5355105268,-3.000000248e-11,-5.602131234e-11
1949,haas2020_input_equals_output,metals,0.5395342671,0.5395342671,4.000000331e-11,7.41380219e-11
1950,haas2020_input_equals_output,metals,0.5927134149,0.5927134148,1.300000108e-10,2.193302994e-10
1951,haas2020_input_equals_output,metals,0.6507246958,0.6507246957,7.000011681e-11,1.07572553e-10
1952,haas2020_input_equals_output,metals,0.6742656388,0.6742656387,5.999978292e-11,8.898537827e-11
